00000000,test0,59,65,43
00000001,test1,63,87,47
00000008,test8,54,96,25
00000009,test9,71,75,28
00000010,test10,46,94,46
00000011,test11,61,97,66
00000012,test12,58,82,38
00000013,test13,96,71,60
00000014,test14,45,72,70
00000015,test15,94,64,92
00000016,test16,63,89,50
00000017,test17,51,77,87
00000018,test18,68,73,41
00000019,test19,73,98,91
00000020,test20,90,99,89
00000021,test21,61,58,36
00000022,test22,80,60,61
00000023,test23,90,78,49
00000024,test24,78,55,33
00000025,test25,55,99,45
00000026,test26,78,70,72
00000027,test27,46,97,51
00000028,test28,84,84,91
00000029,test29,48,70,85
